Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Minimum Tax Rate On Discretionary Trust Distributions To Adult Beneficiaries,Australian Labor Party,Labor has committed to introduce a standard minimum 30 per cent tax rate for discretionary trust distributions to mature beneficiaries (people over the age of 18).,,,30/07/2017,,Treasury,Press Release,Leader,National,5,,,,,,289
Australian Investment Guarantee,Australian Labor Party,"Labor has committed $3.6 billion over four years (and $10 billion over ten years) to create an Australian Investment Guarantee (AIG) to provide accelerated depreciation incentives for new capital equipment investments.<div><br></div><div>The AIG will enable businesses (from 2020) to deduct up to 20 per cent of the value of new investment in the first year, with the balance depreciated in line with normal depreciation schedules from the first year.<br><div><br></div><div><br></div></div>",$10.3 billion over ten years,,13/03/2018,,"Industry, Innovation and Science",Press Release,Relevant Spokesperson,National,1,,,,,,290
Modernising the National Honours System,Australian Labor Party,"Labor has committed to modernise the nation's honours system to better recognise the contribution of Australian women and other underrepresented groups.&nbsp;<div><br></div><div>Since 1975, women have only received about 30 per cent of all awards in the Order of Australia's General Division. Labor will set a target to increase that to 40 per cent by 2020, with the ultimate aim of having half of all awards going to women.&nbsp;</div><div><br></div><div>To achieve this, Labor will make the award categories more representative to broaden the types of contributions that are recognised, including in traditionally female dominated industries. Labor will also work with states and territories, the Office of the Official Secretary to the Governor-General, and women's and community organisations, to increase the number of women nominated for awards. Labor will also extend the government board target of 50 per cent female representation to the Council for the Order of Australia.</div><div><br></div><div>Labor will also update the honours system to better recognise First Nations people, culturally diverse people, and Australians living with a disability.&nbsp;</div>",,,24/01/2019,,Prime Minister and Cabinet,Press Release,Deputy Leader,National,4,,,,,,291
Toughen Australia's Anti-Dumping Protections,Australian Labor Party,"<div>Labor has committed to toughen Australia's anti-dumping protections to safeguard Australian manufacturing and agricultural jobs.<br></div><div><br></div><div>Labor's tougher regime will:</div><div><ul><li>Triple penalties for companies attempting to circumvent anti-dumping laws by misclassifying goods. Revenue from this increase in penalties will be invested into strengthening Australia's anti-dumping system.</li><li>Increase funding for the Anti-Dumping Commission by $3.5 million a year.</li><li>Create a one-stop shop for anti-dumping by moving Australia's entire trade remedy system under the Anti-Dumping Commission.</li></ul><div>Announced on 30 July 2018, in addition to the above, Labor will also support local manufacturers by:</div></div><div><ul><li style=""box-sizing: border-box;"">Introducing a mechanism that will allow businesses in anti-dumping investigations to nominate the form of duty that should be applied, this will form part of the recommendation to the Minister by the Anti-Dumping Commissioner;</li><li style=""box-sizing: border-box;"">Restrict the time available for cited dumpers to request a review of ADC decisions to prevent them gaming the system to their own advantage;</li><li style=""box-sizing: border-box;"">Amend the Census and Statistics Act to improve access to trade and import data held by the Australian Bureau of Statistics.</li></ul></div>",,,9/03/2018,,Foreign Affairs and Trade,Press Release,Leader,National,5,,,,,,292
Brighton Oval Complex - redevelopment,Australian Labor Party,"Labor has committed $5 million towards a major redevelopment of Brighton's community sports precinct (the Brighton Oval Complex), supporting a big boost in participation and active recreation.&nbsp;<div><br></div><div>Labor's contribution will support stage two of the planned improvements, including: a new fitness hub, nine new cricket nets, upgraded lighting for the lacrosse pitch, new half-court basketball court, multi-use community grassed area and redeveloped play space, and upgrades to Highet Ave traffic measures, access, parking, paving and drainage.</div>",$5 million,,4/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,,,,293
Grants to Clean Up Urban Rivers and Waterways,Australian Labor Party,"Labor has committed $200 million to ensure all Australians can benefit from the natural beauty of our waterways. The investment will unlock grant funding for projects to clean up our urban rivers and waterways, including:<div><ul><li>Building wetlands to capture and clean and filter stormwater</li><li>Revegetation and tree planting along corridors</li><li>Citizen science and education programs along creeks and corridors, including bush kinder</li><li>Bird boxes and waste capture</li><li>Employment of Indigenous rangers</li><li>Turning urban waterways back in to creeks and rivers again through changing hard surfaces back to natural surfaces (cement turned to river banks)</li></ul></div>",$200 million,,28/01/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,,294
NBN Service Guarantee,Australian Labor Party,Labor has committed to establishing an NBN Service Guarantee which establishes penalties on NBNCo for under-performance and sets regulated timeframes and service standards for&nbsp;<div><ul><li>Fault rectification</li><li>Installations</li><li>Missed appointments</li></ul></div>,,,24/06/2018,,Communications and the Arts,Press Release,Leader,National,5,,,,,,295
A New Community Mental Health Centre in Bundaberg,Australian Labor Party,"Labor has committed $15.7 million to construct a dedicated community mental health centre in Bundaberg to accommodate rapidly expanding community mental health services.<div><br></div><div>Labor's investment will also include the refurbishment of the area within Bundaberg Hospital Acute Mental Health unit vacated by child mental health services, to provide four additional acute beds.</div><div><br></div><div>This commitments forms part of Labor's $2.8 billion Better Hospitals Fund.</div>",$15.7 million,,21/01/2019,,Health,Press Release,Leader,Electorate,5,,Better Hospitals Fund (ALP),,,,296
More local apprentices and boosting local TAFEs,Australian Labor Party,"Labor has committed to the requirement that one in 10 workers on major projects be apprentices from the local area to ensure we are giving young locals the chance to learn the skills they need for a job, and help older workers retrain for new jobs.<div><br></div><div>This commitment forms part of Labor's Local Projects, Local Jobs plan, and is in addition to Labor's existing commitments on TAFE.</div>",,,21/01/2019,,Education and Training,Press Release,Leader,National,5,,"Local Projects, Local Jobs Plan (ALP)",,FALSE,,297
Access to Playgroups and Toy Libraries,Australian Labor Party,"Labor has committed $6.1 million to expand community based playgroups and toy libraries.<div><br></div><div>The funding will provide $50,000 each to Playgroups Australia and Toy Libraries Australia to expand and improve their resources and eligible groups with one-off grants of:</div><div><ul><li>$15,000 to establish new or expand existing Toy Libraries or Playgroups, or undertake minor capital works</li><li>$5,000 for existing organisations to purchase new toys, books, paints, craft materials or other consumables</li></ul></div>",$6.1 million,,9/02/2019,,Education and Training,Press Release,Relevant Spokesperson,National,5,,,,,,298
Increasing the Superannuation Guarantee,Australian Labor Party,Labor has committed to increase the Superannuation Guarantee to 12 per cent as soon as practicable.<div><br></div><div>(Ch. 1&nbsp;Para 46)</div>,,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,299
Superannuation Guarantee - Legislated as part of the National Employment Standard,Australian Labor Party,Labor has committed ensure that the Superannuation Guarantee is legislated to become part of the national minimum employment standard so that it is enforceable as an industrial entitlement.<div><br></div><div>(Ch. 1&nbsp;Para 46)</div>,,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,300
A Sustainable and Fair Retirement Income System,Australian Labor Party,"Labor has committed to lowering the annual non-concessional contributions cap to $75,000 and lower the High Income Superannuation Contribution threshold to $200,000. Labor will also remove the catch-up concessional contributions and tax deductibility for personal superannuation contributions.<div><br></div><div>(Ch. 1&nbsp;Para 49)</div>",,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,301
Constructing the Singleton Bypass,Australian Labor Party,Labor has committed to contribute $250 million towards the construction of the Singleton Bypass on the New England Highway.&nbsp;<div><br></div><div>The contribution would cover half of the expected cost of the project and would be contingent upon it being matched by the New South Wales Government.</div>,$250 million,,27/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,,,,302
Expert Review of Mechanisms to Strengthen Superannuation Balances of Women,Australian Labor Party,"Labor has committed to, within the first six months, initiate an expert review to examine the adequacy of mechanism to strengthen the superannuation balances of women, including options for government contributions to account balances where the account balance is very low, and the timing and nature of such contributions.<div><br></div><div>(Ch. 1&nbsp;Para 53)</div>",,,18/12/2018,,Treasury,National Platform,Leader,National,4,,,,,,303
50 New Jobs for Wakefield,Australian Labor Party,"Labor has committed to improve services in Wakefield by committing funding for 50 new, full-time Department of Human Services jobs. These 50 jobs will be based permanently in the Northern suburbs with a desired site at the new Northern CBD.",,,26/02/2019,,Human Services,Press Release,Relevant Spokesperson,Electorate,5,,,,,,304
Future of Financial Advice Laws,Australian Labor Party,"Labor has committed to consult with industry, unions, consumer and retiree groups about the detailed implementation of financial regulation applying to all financial services, including insurance and banking. This will include the development of a clear timeline to further align regulation of mortgage brokers with regulation of financial advisers providing financial product advice to retail clients, enhancing brokers' existing obligations to the clients under the&nbsp;<i>National Consumer Credit Protection Act</i>. Labor will continue to work to remove conflicted remuneration practices and structures throughout the financial sector and ensure more appropriate remuneration systems, including for industry executives.<div><br></div><div>(Recommendation 1.5)</div><div><br></div><div>(Ch. 2 Para 93) National Platform</div>",,,18/12/2018,,Treasury,National Platform,Leader,International,5,,,,,,305
Council of Superannuation Custodians,Australian Labor Party,"Labor has committed to create a Council of Superannuation Custodians, independent of Government, to provide on superannuation policy. The Council will be formed based on best-practice industry fund model, comprised of eminent Australians with deep experience in the superannuation sector.<div><br></div><div>(Ch. 1 Para 96)</div>",,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,306
Re-establish the Corporations and Markets Advisory Committee,Australian Labor Party,"Labor has committed to re-establish the Corporations and Markets Advisory Committee or similar body, to consider and report on whether the <i>Corporations Act 2001</i> should be revised to clarify the extent to which directors may take into account the interests of specific classes of stakeholder or the broader community when making decisions, and whether the social and environmental impact of their activities should be reported.<div><br></div><div>(Ch. 1&nbsp;Para 102)</div>",,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,307
Expanding the Financial Rights Legal Assistance Sector,Australian Labor Party,"Labor has committed $120 million over four years from the Banking Fairness Fund to expand the financial rights legal assistance sector from 40 lawyers to 240 lawyers across Australia.&nbsp;<div><br></div><div>The funding of $30 million per year will be ongoing, and will provide stable funding for the sector as recommended by Commissioner Hayne.</div>",$120 million over four years,,26/02/2019,,Attorney-General's,Press Release,Relevant Spokesperson,National,5,,Banking Fairness Fund (ALP),,,,308
Improved Access to Trade and Import Data,Australian Labor Party,Labor has committed to amend the <i>Census and Statistics Act 1905</i> to improve access to trade and import data held by the Australian Bureau of Statistics.<div><br></div><div>(Ch. 1&nbsp;Para 119)</div>,,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,309
Anti Dumping - International Trade Remedies Forum,Australian Labor Party,"Labor has committed to direct the International Trade Remedies Forum to investigate the new Trade Defence Instrument enacted by the European Union and do a gap analysis between the EU and Australia's approaches, including in relation to considering how non-compliance with international labour standards impact reasonable costs for the purpose of normal value determination in anti-dumping investigations.<div><br></div><div>(Ch. 1 Para 120)</div>",,,18/12/2018,,Foreign Affairs and Trade,National Platform,Leader,National,5,,,,,,310
Doubling the number of Australian Financial Counsellors,Australian Labor Party,Labor has committed $320 million from the Banking Fairness Fund over four years to double the number of financial counsellors across Australia from 500 to 1000.,$320 million over four years,,25/02/2019,,Treasury,Press Release,Leader,National,5,,Banking Fairness Fund (ALP),,,,311
Enforcement of Laws Regarding Illegal Logging,Australian Labor Party,"Labor has committed to ensure that legislation which prohibits the importation of illegally logged wood and forest products made from it is enforced, by taking a risk based approach to monitoring due diligence systems. Labor will continue to oppose 'deemed to comply' proposals.<div><br></div><div>(Ch. 1&nbsp;Para 125)</div>",,,18/12/2018,,Agriculture and Water Resources,National Platform,Leader,National,5,,,,,,312
Free Trade Agreements - Investor State Dispute Settlement,Australian Labor Party,Labor has committed to review Investor State Dispute Settlement (ISDS) provisions in existing trade agreements and seek to remove these.<div><br></div><div>A full time negotiating team will be established in the Department of Foreign Affairs and Trade whose sole job will be to negotiate removal of these clauses and to reinstate labour market testing where it has been waived.</div><div><br></div><div>This is in addition to the negotiating platform for all new trade agreements.</div><div><br></div><div>(Ch. 1&nbsp;Para 132 and 133)</div>,,,18/12/2018,,Foreign Affairs and Trade,National Platform,Leader,National,5,,,,,,313
Removal of Asian Development Bank Exemption for Some Asbestos Products,Australian Labor Party,"Labor has committed to lobby for a change in the policy of the Asian Development Bank, which provides an exemption allowing investments that include the purchase and use of bonded asbestos cement sheeting where the asbestos content is less than 20 per cent.<div><br></div><div>(Ch. 1&nbsp;Para 143)</div>",,,18/12/2018,,Foreign Affairs and Trade,National Platform,Leader,National,5,,,,,,314
Working Conditions for Temporary Visa Holders,Australian Labor Party,"Labor has committed to require that temporary visa holders are paid their wages into an Australian bank account, and will work to ensure that all workers on temporary visas are paid in accordance with Australian awards or enterprise agreements and are protected by Australian workplace laws.<div><br></div><div>Further, Labor will ensure that all categories of temporary workers are not exploited through sham contracting or unethical labour hire practices, and for those who are exploited, they have access to whistleblower protections.</div><div><br></div><div>(Ch. 1&nbsp;Para 150, 153 and 154)</div>",,,18/12/2018,,Jobs and Small Business,National Platform,Leader,National,5,,,,,,315
Establish a COAG Process on Housing Affordability,Australian Labor Party,Labor has committed to&nbsp;<div><ul><li>establish a COAG process to coordinate and facilitate an efficient and uniform vacant property tax across all of Australia's major cities</li><li>engage with COAG to explore what further options there may be for reform that improves housing market access for first home buyers</li><li>ensure that states and territories have the flexibility to response to housing affordability challenges in their own jurisdictions by removing outdated national requirements on how this assistance must be provided</li></ul><div>(Ch. 1&nbsp;Para 180 and 184)</div></div>,,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,316
Foreign Investment in Residential Housing,Australian Labor Party,Labor has committed to<div><ul><li>Doubling the foreign investment application fees which currently apply to foreign investment in new residential property</li><li>Double the maximum financial penalties for breaches of the foreign investment rules banning acquisition of residential investment property by foreign buyers.</li></ul><div>(Ch. 1&nbsp;Para 180)</div></div>,,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,,,,317
Appointment of a Minister for Housing,Australian Labor Party,"Labour has committed to appoint a Housing Minister and to re-establish the National Housing Supply Council to ensure better assessment of general housing affordability issues, including supply.<div><br></div><div>(Ch. 1&nbsp;Para 183)</div>",,,18/12/2018,,Prime Minister and Cabinet,National Platform,Leader,National,2,,,,,,318
Tradie Pay Guarantee,Australian Labor Party,"Labor has committed to implement a Tradie Pay Guarantee, which will protect sub-contractors working on Government projects from being left unpaid when businesses go bankrupt. As part of this, Labor will:<div><br></div><div><ul><li>Establish a new requirement for large Commonwealth construction projects that would see project bank accounts established that use cascading statutory trusts, ensuring that all businesses down the supply chain involved get paid on time.&nbsp;</li><li>Develop a national framework to ensure that no sub-contractors or small businesses are left out of pocket as a result of ""phoenix activity"".</li><li>Set up an efficient process for handling disputes and establish a federal security of payments legislative regime based on the recommendations of the Murray Review</li><li>Work with the states and territories to harmonise schemes across the country where possible</li></ul></div>",,,26/02/2019,,Jobs and Small Business,Press Release,Leader,National,5,,Anti-Phoenixing Measures (ALP),,,,319
50 New Jobs for Paterson,Australian Labor Party,"Labor has committed to create 50 new permanent, full-time Department of Human Services jobs in Paterson to benefit Maitland, Port Stephens and Kurri Kurri areas.",,,25/02/2019,,Human Services,Press Release,Relevant Spokesperson,Electorate,5,,,,FALSE,,320
100 New Jobs for the Central Coast,Australian Labor Party,"Labor has committed to create 100 new permanent, full-time Department of Human Services jobs on the Central Coast.",,,25/02/2019,,Human Services,Press Release,Relevant Spokesperson,Electorate,5,,,,,,321
Mandurah Commuter Parking - Expansion,Australian Labor Party,"Labor has committed to partner with the state government to build a $32 million, multi-level car park at the Mandurah Train Station to ease shortages and encourage more commuters to use public transport.<div><br></div><div>Labor's $16 million contribution will be drawn from the National Park and Ride Fund.</div>",$16 million,,25/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),,,,322
Dunns Creek Road,Australian Labor Party,"Labor has committed to partner with the State Labor Government to invest $135 million to build the Dunns Creek Road, a key piece of regional infrastructure for residents of Queanbeyan, Googong and Jerrabomberra.<div><br></div><div>Labor will provide half the cost, or $65 million, as well as $2.5 million for planning.</div>",$67.5 million,,25/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,,,,323
Creation of a Strategic Fleet,Australian Labor Party,"Labor has committed to creating a Strategic Fleet to secure Australia's access to fuel supplies. As part of this commitment, Labor will:<div><ul><li>Appoint a Taskforce to guide it on the establishment of the Fleet, which is likely to include up to a dozen vessels including oil tankers, container ships and gas carriers.</li><li>Enforce existing laws around coastal shipping</li><li>Address skills shortages in the Australian maritime sector by re-establishing the Maritime Workforce Development Forum</li><li>Order the Department of Infrastructure to resume proper oversight of the issuance of temporary licences</li></ul></div>",,,24/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Leader,National,5,,,,,,324
Redcliffe Hospital Emergency Department Redesign,Australian Labor Party,"Labor has committed to provide better emergency facilities for children by investing in major improvements to the Redcliffe Hospital Emergency Department. The redesign will ensure that paediatric patients are treated in their own dedicated area, separate to adult patients.<div><br></div><div>This commitment forms part of Labor's $2.8 billion Better Hospitals Fund.</div>",$10 million,,7/03/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,,325
Affordable Gas for Manufacturers,Australian Labor Party,Labor has committed to introduce measures to ensure sufficient supplies of affordable gas for firms using gas as a feedstock in manufacturing processes.<div><br></div><div>(Ch. 1&nbsp;Para 214)</div>,,,18/12/2018,,Environment and Energy,National Platform,Leader,National,5,,,,,,326
Naval Shipbuilding Plan,Australian Labor Party,Labor has committed to develop a national shipbuilding plan to ensure the continued role of Australian shipyards in the construction of new vessels and sustainment of existing vessels.<div><br></div><div>The plan will include procurement strategies for naval and other government maritime vessels to substantially reduce the risk of shipyard closures and loss of crucial capabilities.</div><div><br></div><div>(Ch. 1&nbsp;Para 220)</div>,,,18/12/2018,,Defence,National Platform,Leader,National,5,,,,,,327
"Establishing a Textile, Clothing and Footwear (TCF) Ethical Procurement Register",Australian Labor Party,"Labor has committed to establishing a Textile, Clothing and Footwear (TCF) Ethical Procurement Register requiring all companies that tender for Government contracts in the TCF industry to hold Ethical Clothing Australia accreditation and be on the register.<div><br></div><div>Labor will improve opportunities for Australian textile, clothing and footwear manufacturers in Government tenders by requiring contractors on publicly funded projects to purchase locally manufactured TCF from businesses accredited by Ethical Clothing Australia (with conditions).&nbsp;<div><br></div><div>(Ch. 10 Para 38)</div></div>",,,18/12/2018,,"Industry, Innovation and Science",National Platform,Leader,National,5,,,,,,328
Strengthening Australian Industry Participation Plans,Australian Labor Party,"Labor has committed to strengthen Australian Industry Participation Plans (AIP Plans) for private and public procurement, and to restoring the requirements for all tenderers to complement and implement an AIP Plan. Labor will also establish an Australian Industry Participation Board pursuant to the Australian Jobs Act 2013.<div><br></div><div>(Ch. 1 Para 233)</div>",,,18/12/2018,,"Industry, Innovation and Science",National Platform,Leader,National,5,,,,,,329
Establish a Major Cities Unit,Australian Labor Party,Labor has committed to establish a Major Cities Unit within Infrastructure Australia.<div><br></div><div>(Ch.2 Para 42)</div>,,,18/12/2018,,"Infrastructure, Regional Development and Cities",National Platform,Leader,National,5,,,,,,330
High Speed Rail Planning Authority,Australian Labor Party,"Labor has committed to establish a High Speed Rail Planning Authority as a statutory body, and to engage with the Queensland, New South Wales, Victorian and Australian Capital Territory governments, local governments and the rail industry, to begin the vital work of corridor preservation for a high speed rail project from Brisbane to Melbourne.<div><br></div><div>(Ch. 3 Para 49)</div>",,,18/12/2018,,"Infrastructure, Regional Development and Cities",National Platform,Leader,National,5,,,,,,331
Centrelink Community Response Officers,Australian Labor Party,"Labor has committed to invest in over 100 new Centrelink Community Response Officers to meet the needs of those facing drought or other adversity. Labor will also boost rural services with two additional Mobile Service Centres, doubling current capacity.<div><br></div><div>Community Response Officers will be specially trained in establishing local outreach services when and where families face stress or crisis.</div>",,,10/08/2018,,Human Services,Press Release,Relevant Spokesperson,National,5,,,,,,332
National Office of Road Safety,Australian Labor Party,"Labor has committed to establish a National Office of Road Safety within the Department of Infrastructure.<div><br></div><div>The Office will be tasked with improving data collection, promoting best practice research, and leading the development of the next ten year National Road Safety Strategy, which will commence in 2021.</div><div><br></div><div>(Ch. 2 Para 60)</div>",,,18/12/2018,,"Infrastructure, Regional Development and Cities",National Platform,Leader,National,5,,,,,,333
90 New Jobs for WA,Australian Labor Party,"Labor has committed to create 90 permanent, full-time Department of Human Services jobs in WA, with 50 jobs allocated to the electorate of Hasluck and 40 to Burt.",,,27/02/2019,,Human Services,Press Release,Relevant Spokesperson,Electorate,5,,,,,,334
Sydney Aviation Plan,Australian Labor Party,Labor has committed to develop an integrated Sydney Aviation Plan to provide for Sydney's future airport needs.<div><br></div><div>(Ch. 2 Para 80)</div>,,,18/12/2018,,"Infrastructure, Regional Development and Cities",National Platform,Leader,National,5,,,,,,335
Australian Merchant Fleet,Australian Labor Party,"Labor has committed to convene a meeting of all maritime unions and current industry stakeholders within the first 100 days, to progress the plan for the Australian Merchant Fleet and coastal shipping. This meeting will also discuss international trade opportunities for Australian seafarers in the shipping of Australian resources such as gas, coal, iron ore, oil, fuel and commodities.<div><br></div><div>(Ch.2 Para 82)</div>",,,18/12/2018,,"Infrastructure, Regional Development and Cities",National Platform,Leader,National,2,,,,,,336
Appointment of a Minister for Cities,Australian Labor Party,Labor has committed to appoint a Minister for Cities.<div><br></div><div>(Ch.2 Para 101)</div>,,,18/12/2018,,Prime Minister and Cabinet,National Platform,Leader,National,2,,,,,,337
Appointment of a Minister for Tourism,Australian Labor Party,Labor has committed to appoint a Minister for Tourism.<div><br></div><div>(Ch. 2 Para 119)</div>,,,18/12/2018,,Prime Minister and Cabinet,National Platform,Leader,National,2,,,,,,338
Post 2020 Pollution Reduction Targets,Australian Labor Party,"Labor has committed to adopt post-2020 pollution reduction targets, including to reduce national carbon emissions by 45 per cent off 2005 level by 2030.<div><br></div><div>(Ch. 4 Para 24)</div>",,,18/12/2018,,Environment and Energy,National Platform,Leader,National,5,,,,,,339
National Gender Equality Strategy,Australian Labor Party,"Labor has committed to a National Gender Equality Strategy, published in 2018, which it has committed to implement in Government.&nbsp;<div><br></div><div>The National Gender Equality Strategy will guide whole of government efforts to achieve gender equality, including gender policy advice and analysis when undertaking policy development.&nbsp;&nbsp;<br><div><br></div><div><br></div></div>",,,7/03/2018,,Prime Minister and Cabinet,Policy document,Deputy Leader,National,2,,,,,,340
Approvals under the Environment Protection and Biodiversity Conservation Act,Australian Labor Party,"Labor has committed to maintain approvals under the <i>Environment Protection and Biodiversity Act 1999</i> at the Commonwealth level, and does not support approval powers being provided to state and territory governments. Where arrangements have been made giving approval powers to states and territories, these agreements will be terminated.<div><br></div><div>(Ch.4 Para 47)</div>",,,18/12/2018,,Environment and Energy,National Platform,Leader,National,5,,,,,,341
National Women's Health Policy,Australian Labor Party,Labor has committed to creating a national women’s health policy that addresses women’s health needs throughout their life-cycle and acknowledges gender as a key determinant of health. This commitment was included in Labor's National Strategy on Gender Equality and includes creating a separate national men’s health policy that address men's health needs in a similar way.&nbsp;,,,7/03/2018,,Health,Policy document,Deputy Leader,National,5,,,,,,342
New Triggers Under the Environment Protection and Biodiversity Conservation Act,Australian Labor Party,Labor has committed to create new or expanded triggers under the <i>Environment Protection and Biodiversity Conservation Act 1999 </i>and or successor frameworks.<div><br></div><div>These include<br><ul><li>A land clearing trigger as part of a comprehensive response to land clearing and climate change</li><li>Considering a national parks trigger to project Australia's system of national parks</li><li>Expanding the water trigger to apply to shale or tight&nbsp; formation gas developments that impact on water resources.</li></ul><div>(Ch.4 Para 81)</div></div><div><div><br></div></div>,,,18/12/2018,,Environment and Energy,National Platform,Leader,National,5,,,,,,343
National COAG Plan to Reduce Homelessness,Australian Labor Party,Labor has committed to&nbsp;developing and implementing a national plan to reduce homelessness through the Council of Australian Governments (COAG).&nbsp;<div><br></div><div>A key priority of this plan would be housing for First Nations women. This commitment formed part of Labor's 2018 Women's Budget Statement (page 56 of link).&nbsp;</div>,,,10/05/2018,,Social Services,Policy document,Deputy Leader,National,3,,,,,,344
Fair Entitlements Guarantee,Australian Labor Party,"Labor has committed to develop a Fair Entitlements Guarantee to protect employee entitlements such as redundancy pay (up to 4 weeks per year of service) annual leave, long service leave, notice, superannuation and unpaid wages.<div><br></div><div>(Ch. 5 Para 21)</div>",,,18/12/2018,,Jobs and Small Business,National Platform,Leader,National,5,,,,,,345
Abolish the Australian Building and Construction Commission,Australian Labor Party,"Labor has committed to abolish the Australian Building and Construction Commission (ABCC), and will repeal the&nbsp;<i>Building and Construction Industry (Improving Productivity) Act 2016</i>, including the Code for the Tendering and Performance of Building Work 2016.<div><br></div><div>(Ch. 5 Para 98)</div>",,,18/12/2018,,Jobs and Small Business,National Platform,Leader,National,5,,,,,,346
Prioritise Funding to Family Violence Services ,Australian Labor Party,"<div>Labor has committed to prioritising funding for women-led family violence services across Australia.</div><div><br></div>This includes implementing the recommendations of the Senate inquiry into 1800 RESPECT Domestic and
Sexual Violence Counselling Service, ensuring that culturally-appropriate support is provided to support Aboriginal and Torres Strait Islander victims and survivors of family violence, and working with OurWatch, ANROWS, and Crime Statistics Australia to collect, publish, promote and monitor data on violence against women.<div><br></div><div>(Ch 9, Para 194-197)</div>",,,16/12/2018,,Social Services,National Platform,Leader,National,5,,,,,,347
A New Ten Year Plan to Prevent Violence Against Women and Children,Australian Labor Party,<div>Labor has committed to developing and delivering a new ten year national plan to prevent violence against women and children. Part of this commitment includes establishing a national advisory group to guide the development of a new national plan.</div><div><br></div>,,,27/11/2018,,Prime Minister and Cabinet,Speech,Leader,National,4,,,,,,348
Deliver Gender Equality through International Aid,Australian Labor Party,"Labor has committed to make gender equality a key objective of Australia's aid program and international development assistance, and ensure that at least 80 per cent of Australia's aid investments meet gender equality goals.<div><br></div><div>This commitment includes taking action to focus on adolescent girls are supported in humanitarian responses, providing access to vocational training and entrepreneurship and 'in demand' jobs. It also includes improving access to information and services on sexual&nbsp;and reproductive rights, and supporting girls to be change agents and the next generation of leaders.<br></div><div><br></div><div>(Ch 11, Para 130-139)</div>",,,16/12/2018,,Foreign Affairs and Trade,National Platform,Leader,International,5,,,,,,349
Railcar Training Workshops for Midland TAFE,Australian Labor Party,"Labor has committed to invest $3 million to redevelop railcar training workshops at Midland TAFE, giving local students skills to work on the rollout of METRONET and future maintenance of the project.<div><br></div><div>The re-equipped workshops will create a specialist training centre to provide technical and support skills required by METRONET and the wider railcar industry.</div><div><br></div><div>The Midland TAFE redevelopment is part of Federal Labor's $100 million Building TAFE for the Future Fund aimed at revitalising TAFE campuses across Australia.<br><div><div><div><br></div><div><br></div></div></div></div>",$3 million,,28/02/2019,,Education and Training,Press Release,Leader,Electorate,5,,TAFE Package (ALP),,,,350
Programs for Regional and Remote Students,Australian Labor Party,"Labor has committed $3.2 million for programs that work with students in country areas to encourage them to go to university or TAFE. The programs will include mentoring and tutorials designed to build confidence and aspiration amoung country kids.&nbsp;<div><br></div><div>They will be delivered through the 22 new community-owned Regional Study Hubs, separately announced.</div><div><br></div><div>Labor will also work with universities to develop online pathway and enabling courses so that country students who need additional time to build confidence and skills for study can do so.</div>",$3.2 million,,27/02/2019,,Education and Training,Press Release,Deputy Leader,National,5,,,,,,351
Establish an Apprentice Advocate,Australian Labor Party,"Labor has committed to establish an Apprentice Advocate to ensure Australia has an excellent, high quality and inclusive apprenticeship system. The Advocate and their office will provide advice to the government on strategies to reduce the exploitation of apprentices and trainees and improve their safety.<div><br></div><div>(Ch. 7 Para 98)</div>",,,18/12/2018,,Education and Training,National Platform,Leader,National,5,,,,,,352
Extra Overtaking Lanes on Capricorn Highway,Australian Labor Party,Labor has committed $15 million to build up to six new overtaking lanes on the Capricorn Highway between Gracemere and Emerald to boost productivity and improve road safety. The project would deliver three new overtaking lanes in each direction. Funding for the project would be in Labor's first budget in office.,$15 million,,28/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,1,,,,,,353
